URL,Bug Type,Language,Component,Root Cause,Effect,Framework,Rational,File ,Code Before Change,Code After Change
https://github.com/activeloopai/deeplake/commit/2804401c45f7e6cafd9cbae232da6e188a542f16,Initialization Bug (IB),Python,Tools,API Misuse-Invalid API Arguments (AM.IAA),Unknown (UN),Langchain,"BT: Incorrectly initialized dataset
RC: Did not pass token parameter
ET: ",test_pytorch.py,"ds = Dataset(storage=hub_cloud_ds.storage, read_only=True, verbose=False)","ds = Dataset(
        storage=hub_cloud_ds.storage,
        token=hub_cloud_ds.token,
        read_only=True,
        verbose=False,
    )"
https://github.com/activeloopai/deeplake/commit/2804401c45f7e6cafd9cbae232da6e188a542f16,Initialization Bug (IB),Python,Tools,API Misuse-Invalid API Arguments (AM.IAA),Unknown (UN),Langchain,"BT: Incorrectly initialized dataset
RC: Did not pass token parameter
ET: ",test_pytorch.py,another_ds = deeplake.dataset(hub_cloud_ds.path),"another_ds = deeplake.dataset(hub_cloud_ds.path, token=hub_cloud_ds.token)"
https://github.com/activeloopai/deeplake/commit/2804401c45f7e6cafd9cbae232da6e188a542f16,Configuration Bug (CB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash (CR),Langchain,"BT: Incorrect key provided
RC: Dataloader gets incorrect key to access
ET: Incorect key (path) should provide KeyError",test_pytorch.py,"cat = sample[""jpegs/cats""]
flower = sample[""pngs/flowers""]","cat = sample[""images/jpegs/cats""]
        flower = sample[""images/pngs/flowers""]"
https://github.com/argilla-io/argilla/commit/3a77e844d3c6a5a6a7dcf9b558a5eba26cd684a1,Reference Bug (RB),Javascript,Other,Others,Unknown (UN),Langchain,"BT: Did not import an icon that is used elsewhere 
RC: This bug is not related to the LLM
ET: The commit message says it's a non-beaking issue. No Further details provided",QuestionsForm.component.vue,"import { isEqual, cloneDeep } from ""lodash""","import ""assets/icons/external""
import { isEqual, cloneDeep } from ""lodash"""
https://github.com/jina-ai/langchain-serve/commit/762626d588167cbe8bacc10d2fa8a02a9c417b8b,Argument Bug (AB),Python,Unknown,Incorrect or Missing Parameter Value-Incorrect Value (IMP.IV),Unknown (UN),Langchain,"BT: Some arguemtns are missing
RC: end_on_exit parameter is not passed
ET: Not specified in the commit message",langchain_helper.py,"with self.tracer.start_as_current_span(
                ""llm start"", context=context
            ) ","with self.tracer.start_as_current_span(
                ""llm"", context=context, end_on_exit=False
            )"
https://github.com/jina-ai/langchain-serve/commit/762626d588167cbe8bacc10d2fa8a02a9c417b8b,Logic Bug (LB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Unknown (UN),Langchain,"BT: Prompt length calculation logical error
RC: Incorrectly calculated prompt length
ET: Not specified in the commit message",langchain_helper.py,prompts_len += sum([len(prompt) for prompt in prompts]),prompts_len = sum([len(prompt) for prompt in prompts])
https://github.com/jina-ai/langchain-serve/commit/a732e32627ec78f8645db0c1b3ee6fc5fa3ababd,API Bug (APIB),Python,Unknown,Requirement Violation (RV),Unknown (UN),Langchain,"BT: Python version incorrect
RC: Python version requirement fixed
ET: User did not specify the effect",ci.yml,Set up Python 3.7,name: Set up Python 3.9
https://github.com/jina-ai/langchain-serve/commit/a732e32627ec78f8645db0c1b3ee6fc5fa3ababd,Reference Bug (RB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Unknown (UN),Langchain,"BT: Incorrect reference of run_test_server 
RC: Incorrect controll statement
ET: Incorrect import throws ImportError",test_basic_app.py,from .test_helper import run_test_server,from .helper import run_test_server
https://github.com/argilla-io/argilla/commit/92392c4601f1368647d602a696ff202935e5b4d2,Logic Bug (LB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Unknown (UN),Langchain,"BT: Fixed the logical component of the code
RC: Previous code may pass Null instances. Current code adds a filterning
ET: Not explained in the commit message",records.py,"payload[""fields""] = self.fields","payload[""fields""] = {key: value for key, value in self.fields.items() if value is not None}"
https://github.com/codedog-ai/codedog/commit/5041ab5e109dbd4ff543b7b1f52871f41c978ab6#diff-6446bb9dade32a2e741a70c788efa62d9f00b6342a0084717c9230332b1966ddR65-R119,Logic Bug (LB),Python,Tools,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Unknown (UN),Langchain,"BT: Updated logical check
RC: Instead of checking if git_pr is none, the new code is checking if git_pr.body is none
ET: Not mentioned in the commit",github_retriever.py,"body=git_pr.body if git_pr is not None else """",","body=git_pr.body if git_pr.body is not None else """","
