URL,Bug Type,Language,Component,Framework,Root Cause,Effect,Rational,Accepted Answer
https://discuss.huggingface.co/t/failed-to-load-mistral-model-in-auto-framework-0-4-and-above-need-help-to-solve-this-issue/165264,Logic Bug (LB),Python,Agent Core,Autogen,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash,"BT: But it seems that with Hugging Face’s Transformers cannot be used as is. It seems easier to use it with Ollama for local models
RC: Invoked LLLM incorrectly
ET: Throws AttributeError",True
https://discuss.huggingface.co/t/got-wrong-row-number-of-dataset-viewer/77132,API Bug (APIB),Python,Tools,Custom,API Limitation (AL),Incorrect Output (IO),"BT: well spotted, thanks for opening the issue The API returns the wrong row number · Issue #2581 · huggingface/datasets-server · GitHub, we’re on it
RC: Bug in the API
ET: The number of rows is incorrect,",True
https://discuss.huggingface.co/t/autogenerated-model-cards-not-showing-the-best-metrics-when-using-load-best-model-at-end-true/28373,Logic Bug (LB),Python,Tools,Custom,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Incorrect Output (IO),"BT: From the post, it is clear that the user did not update the model card. 
RC: Missed flow to update model card. 
ET: Model card shows incorrect metrics.",False
https://discuss.huggingface.co/t/dataset-viewer-not-available-on-features-of-type-datasets-array2d-shape-none-768-dtype-float64/154828,API Bug (APIB),Python,Tools,Custom,API Limitation (AL),Crash,"BT: The Dataset library anticipates cases where the dimensions of data change dynamically, but the DatasetViewer library does not yet anticipate this.
RC: Dataset viewer backend does not support variable-length dimensions
ET:  Throws ValueError",True
https://discuss.huggingface.co/t/audio-course-unit-4-sample-code-not-working-can-anyone-check-for-me-thanks/132413,Configuration Bug (CB),Python,Other,Custom,Others,Crash,"BT: From the error log, it looks like there is an environment misconfiguration
RC: Not related to LLM agent
ET: Throws RuntimeError: Failed to import transformers.integrations.integration_utils because of the following error ",False
https://discuss.huggingface.co/t/mistral-7b-v03-inference-install-wheel-error/114402,Configuration Bug (CB),Python,Tools,Custom,Requirement Violation (RV),Crash,"BT: It seems like it doesn’t help in some environments.
RC: User's environment issue
ET: Throws error: ERROR: ERROR: Failed to build installable wheels for some pyproject.toml based projects (xformers)",False
https://discuss.huggingface.co/t/output-getting-stuck-while-running-a-gguf-model-using-llama-cpp-and-llama-index/99652,API Bug (APIB),Python,Agent Core,LlamaIndex,API Limitation (AL),Warning,"BT: Bug in the API 
RC: Open issue in the library
ET: Throws RuntimeWarning
ER: in prompt, this will likely reduce response quality
 https://github.com/oobabooga/text-generation-webui/issues/6225",False
https://discuss.huggingface.co/t/how-to-get-visual-text-multimodal-embedding-from-llava-model/103838,Configuration Bug (CB),Python,Tools,Custom,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Unknown,"BT: Parameter misconfigured
RC: output_hidden_states parameter not passed 
ET: Not specified",True
https://discuss.huggingface.co/t/how-to-make-custom-llm-model-give-longer-and-detailed-answers-llamaindex/45755,Model Bug (MB),Python,Agent Core,Langchain,API Limitation (AL),Incorrect Output (IO),"BT: From the post, it is clear that opt-iml-1.3b is a small model unable to produce long output
RC: Incorrect LLM component used
ET: Returns short responses.",False
https://discuss.huggingface.co/t/hf-agents-course-404-client-error-not-found-for-url/162747,Configuration Bug (CB),Python,Agent Core,Custom,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Crash,"BT: I can get HuggingFaceInferenceAPI to work by adding the provider
RC: HuggingFaceInferenceAPI parameter missing
ET: Throws 404 Client Error",True
